method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_idx,rule_id,severity,blue_action_name,blue_target_hostname,blue_target_subnet,red_action_name,red_target_hostname,critical_state_before,critical_state_after,compromised_hosts_before,compromised_hosts_after,response_context
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,0,11,86,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User4""]","[""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 26, ""enterprise_foothold_step"": 25, ""first_critical_hit_step"": null, ""window_end"": 88, ""window_start"": 86}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,0,11,87,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User4""]","[""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 26, ""enterprise_foothold_step"": 25, ""first_critical_hit_step"": null, ""window_end"": 89, ""window_start"": 87}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,0,11,30,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User4""]","[""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 26, ""enterprise_foothold_step"": 25, ""first_critical_hit_step"": null, ""window_end"": 37, ""window_start"": 28}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,1,1011,8,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User2""]","[""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 16, ""window_start"": 7}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,1,1011,63,Q5_repeated_low_value_decoy_loop,medium,DecoySSHD,User3,User,ExploitRemoteService,,[],[],"[""User0"", ""User2""]","[""Enterprise1"", ""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 70, ""window_start"": 61}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,2,2011,80,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 82, ""window_start"": 80}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,2,2011,47,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 55, ""window_start"": 46}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,4,4011,48,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 10, ""enterprise_foothold_step"": 9, ""first_critical_hit_step"": null, ""window_end"": 50, ""window_start"": 48}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,4,4011,40,Q5_repeated_low_value_decoy_loop,medium,DecoySSHD,User3,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 10, ""enterprise_foothold_step"": 9, ""first_critical_hit_step"": null, ""window_end"": 49, ""window_start"": 40}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,4,4011,48,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 10, ""enterprise_foothold_step"": 9, ""first_critical_hit_step"": null, ""window_end"": 56, ""window_start"": 47}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,7,7011,80,Q4_user_focus_after_enterprise_foothold,medium,Analyse,User2,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 74, ""enterprise_foothold_step"": 73, ""first_critical_hit_step"": null, ""window_end"": 82, ""window_start"": 80}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,0,12,61,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,PrivilegeEscalate,User3,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 18, ""enterprise_foothold_step"": 17, ""first_critical_hit_step"": null, ""window_end"": 63, ""window_start"": 61}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,0,12,62,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 18, ""enterprise_foothold_step"": 17, ""first_critical_hit_step"": null, ""window_end"": 64, ""window_start"": 62}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,0,12,89,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,PrivilegeEscalate,User3,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 18, ""enterprise_foothold_step"": 17, ""first_critical_hit_step"": null, ""window_end"": 91, ""window_start"": 89}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,0,12,36,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 18, ""enterprise_foothold_step"": 17, ""first_critical_hit_step"": null, ""window_end"": 40, ""window_start"": 31}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,4,4012,61,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User4""]","[""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 54, ""enterprise_foothold_step"": 53, ""first_critical_hit_step"": null, ""window_end"": 63, ""window_start"": 61}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,4,4012,59,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,PrivilegeEscalate,User4,[],[],"[""User0"", ""User4""]","[""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 54, ""enterprise_foothold_step"": 53, ""first_critical_hit_step"": null, ""window_end"": 64, ""window_start"": 55}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,6,6012,67,Q5_repeated_low_value_decoy_loop,medium,DecoySSHD,User3,User,ExploitRemoteService,,[],[],"[""User0"", ""User2""]","[""Enterprise1"", ""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 74, ""window_start"": 65}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,46,Q4_user_focus_after_enterprise_foothold,medium,DecoySSHD,User3,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 48, ""window_start"": 46}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,47,Q4_user_focus_after_enterprise_foothold,medium,DecoySSHD,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 49, ""window_start"": 47}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,94,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 96, ""window_start"": 94}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,95,Q4_user_focus_after_enterprise_foothold,medium,Restore,User1,User,PrivilegeEscalate,User3,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 97, ""window_start"": 95}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,46,Q5_repeated_low_value_decoy_loop,medium,DecoySSHD,User3,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 52, ""window_start"": 43}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,73,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 34, ""enterprise_foothold_step"": 33, ""first_critical_hit_step"": null, ""window_end"": 77, ""window_start"": 68}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,0,13,59,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 42, ""enterprise_foothold_step"": 41, ""first_critical_hit_step"": null, ""window_end"": 61, ""window_start"": 59}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,0,13,66,Q4_user_focus_after_enterprise_foothold,medium,DecoySSHD,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 42, ""enterprise_foothold_step"": 41, ""first_critical_hit_step"": null, ""window_end"": 68, ""window_start"": 66}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,0,13,59,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User4,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 42, ""enterprise_foothold_step"": 41, ""first_critical_hit_step"": null, ""window_end"": 67, ""window_start"": 58}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,3,3013,37,Q4_user_focus_after_enterprise_foothold,medium,DecoySSHD,User3,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 14, ""enterprise_foothold_step"": 13, ""first_critical_hit_step"": null, ""window_end"": 39, ""window_start"": 37}"
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,3,3013,37,Q5_repeated_low_value_decoy_loop,medium,DecoySSHD,User3,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 14, ""enterprise_foothold_step"": 13, ""first_critical_hit_step"": null, ""window_end"": 44, ""window_start"": 35}"
