method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_idx,rule_id,severity,blue_action_name,blue_target_hostname,blue_target_subnet,red_action_name,red_target_hostname,critical_state_before,critical_state_after,compromised_hosts_before,compromised_hosts_after,response_context
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,34,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User1""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,40,Q2_user_action_during_critical_breach,high,DecoySvchost,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User1""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,58,Q2_user_action_during_critical_breach,high,DecoyVsftpd,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,76,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,77,Q2_user_action_during_critical_breach,high,DecoyVsftpd,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,79,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,82,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,83,Q2_user_action_during_critical_breach,high,DecoyApache,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,87,Q2_user_action_during_critical_breach,high,DecoyVsftpd,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,0,7,76,Q5_repeated_low_value_decoy_loop,medium,DecoyHarakaSMPT,User0,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Op_Server0"", ""User0"", ""User1""]","[""Op_Server0"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": 26, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 25, ""window_end"": 82, ""window_start"": 73}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,1,1007,15,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User0,User,PrivilegeEscalate,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise1"", ""Enterprise2"", ""Op_Server0"", ""User0"", ""User2""]","[""Enterprise1"", ""Enterprise2"", ""Op_Server0"", ""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 13, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 12, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair,7,stage1_pref_000_ckpt_191,semantic_balanced,episode_000,1,1007,33,Q2_user_action_during_critical_breach,high,DecoyApache,User0,User,PrivilegeEscalate,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User2""]","[""Enterprise1"", ""Op_Server0"", ""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 13, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 12, ""window_end"": null, ""window_start"": null}"
