method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_idx,rule_id,severity,blue_action_name,blue_target_hostname,blue_target_subnet,red_action_name,red_target_hostname,critical_state_before,critical_state_after,compromised_hosts_before,compromised_hosts_after,response_context
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,67,Q2_user_action_during_critical_breach,high,Restore,User3,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,70,Q2_user_action_during_critical_breach,high,DecoyVsftpd,User2,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,76,Q2_user_action_during_critical_breach,high,Remove,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,77,Q2_user_action_during_critical_breach,high,Analyse,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,78,Q2_user_action_during_critical_breach,high,DecoySvchost,User2,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,81,Q2_user_action_during_critical_breach,high,DecoyTomcat,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,88,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,91,Q2_user_action_during_critical_breach,high,DecoyApache,User4,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,94,Q2_user_action_during_critical_breach,high,Remove,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,96,Q2_user_action_during_critical_breach,high,DecoySvchost,User2,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Enterprise2"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 66, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 64, ""window_end"": null, ""window_start"": null}"
